Designator,Mid X,Mid Y,Rotation,Layer
SW_L_4_3,76.39685,73.266548,350.0,top
SW_L_4_4,102.5906,62.68454,75.0,top
SW_L_4_5_SUB1,190.2278,82.8926,180.0,top
SW_L_4_6_SUB1,170.2278,104.8926,180.0,top
SW_L_4_7_SUB1,190.2278,147.0916,180.0,top
SW_L_4_8_SUB1,170.2278,125.0916,180.0,top
SW_L_4_9,253.97785,62.68454,105.0,top
SW_RST_L1,145.4531,152.322798,270.0,bottom
SW_RST_R1,211.11535,152.322798,270.0,bottom
U1,145.4531,142.322798,270.0,bottom
U2,211.11535,142.322798,270.0,bottom
