Designator,Mid X,Mid Y,Rotation,Layer
D1,99.0742,-82.1182,0.0,bottom
D2,99.06,-101.1428,0.0,bottom
SW1,95.25,-76.475,180.0,top
SW2,95.25,-95.525,180.0,top
